TIC,split,sector,camera,ccd,detector_x,detector_y,physics_nll,instrument_nll,physics_percentile,instrument_percentile,physics_rank,instrument_rank,physics_rank_all,instrument_rank_all,classification,physics_umap_1,physics_umap_2,instrument_umap_1,instrument_umap_2
261239137,train,1,4,2,2061.4198875670136,36.609307791106,297.64728,260.72308,0.85875,0.78625,,,165,192,typical,2.78166,10.557524,0.3852179,1.1620489
261239128,train,1,4,2,2059.2739359738234,40.37831202939514,204.67981,207.47491,0.4175,0.56,,,609,411,typical,11.111365,6.129146,-0.091467276,1.4496548
261236491,train,1,4,2,2053.8839708575615,32.80784090628211,193.59618,218.03256,0.34,0.61375,,,680,362,typical,11.01675,6.195345,-0.00092799385,1.4249185
261239122,train,1,4,2,2053.007628121268,38.83329036652416,202.15533,296.5937,0.3975,0.865,,,630,120,typical,10.997707,6.232391,-0.21254943,1.595518
261236498,train,1,4,2,2052.4830992492734,25.18052949887845,228.93391,252.24306,0.565,0.75875,,,459,223,typical,11.142625,5.574211,0.33094826,1.2036705
261206854,train,1,4,2,2044.1979018182856,23.640143497550753,176.18594,103.19431,0.22875,0.1125,,,790,859,typical,-0.2115756,10.355219,-1.277522,7.1220765
261206849,train,1,4,2,2043.3825946918375,25.906343494103595,279.06,92.81307,0.80125,0.07875,,,221,894,typical,4.935206,5.3363895,-1.2651619,7.1576233
261206850,train,1,4,2,2043.9917924443348,25.358171956258474,527.96857,71.31865,0.9825,0.03625,,,18,955,physics,4.560992,5.787927,-1.2485807,7.21411
261206848,train,1,4,2,2042.889542305559,26.003185774568976,279.05585,65.6923,0.8,0.02375,,,222,970,typical,4.8883176,5.3302155,-1.2724537,7.1691794
261206840,train,1,4,2,2038.9809440552017,27.001648576785904,202.2076,133.80779,0.4,0.22875,,,627,742,typical,-0.36269292,9.310477,-1.3669758,7.116445
261236490,train,1,4,2,2050.991005836033,31.835671402077033,189.95613,144.06953,0.31875,0.26875,,,701,698,typical,11.001162,6.203843,-0.04149158,1.449674
261236483,train,1,4,2,2046.7725313431968,33.93129264924088,181.935,166.89256,0.27125,0.375,,,746,591,typical,8.975386,6.828339,-0.23660584,1.6274809
261239118,train,1,4,2,2055.5099684714432,42.49773877879097,178.42238,220.12718,0.24625,0.63375,,,775,344,typical,10.944529,6.2872314,-0.12137907,1.473622
261239106,train,1,4,2,2048.0041833495543,48.16689035478323,258.09018,160.27861,0.72375,0.345,,,301,621,typical,-2.5286512,9.426111,-1.6122437,7.2237034
261260206,train,1,4,2,2067.950501943972,60.219284971561386,228.84364,56.51532,0.56375,0.0075,,,460,992,typical,3.3767393,5.3083124,-1.3859289,7.656517
261260200,train,1,4,2,2068.1186632339163,66.28511369785195,847.8051,70.51271,0.9975,0.035,,,4,958,physics,4.5285625,5.9439006,-1.3024554,7.76944
261260191,train,1,4,2,2060.242937660292,64.69333163554177,136.85359,69.400185,0.0325,0.0325,,,971,960,typical,-0.9039484,8.441596,-1.942254,7.6031
261260192,train,1,4,2,2062.3654544286833,66.32975121545711,181.25668,68.73914,0.2675,0.03,,,749,963,typical,0.9634849,10.044031,-1.4128016,7.730445
261257529,train,1,4,2,2054.4053108917187,69.90408883001275,139.02362,159.65186,0.03875,0.33875,,,964,626,typical,-1.9271158,9.487203,-2.396803,7.820119
261257543,train,1,4,2,2051.361148616693,61.086581306256456,162.95374,169.33043,0.135,0.38125,,,874,585,typical,-2.0457585,9.595899,-2.3727257,7.695792
261257540,train,1,4,2,2049.638291700923,60.49145683475742,160.44348,148.89581,0.11875,0.29,,,890,672,typical,-1.9968978,9.577548,-2.4299827,7.513211
