TIC,split,sector,camera,ccd,detector_x,detector_y,valid_cadences,physics_umap_1,physics_umap_2,instrument_umap_1,instrument_umap_2
261260112,train,1,4,2,2033.4637767377526,100.18562723734091,960,-2.6930606,10.0333,-2.7932603,6.956715
261260099,train,1,4,2,2024.7025815603588,105.24568399361601,960,-2.8864892,10.132224,-2.6761034,6.522937
261260090,train,1,4,2,2019.3825646815135,108.68701082735677,960,-2.853986,10.134298,-2.6972804,6.5240207
261257441,train,1,4,2,2015.2768421392561,105.77424556792701,960,-2.5558937,10.070666,-2.7282755,6.535451
261257446,train,1,4,2,2012.7441317957746,100.06863936702334,960,-1.8808539,9.389232,-2.6703906,6.5456333
261239005,train,1,4,2,2007.0802761690682,93.3793270661636,960,7.4698586,5.7612996,-2.0698671,5.8915806
261257438,train,1,4,2,2006.4468426776907,99.32682732324379,960,7.6280894,5.6284475,-2.0149834,5.8605647
261238984,train,1,4,2,2001.8494470596052,98.54695781890848,960,7.7806997,5.5322137,0.019511867,4.216141
261239029,train,1,4,2,2017.5279499558762,80.94054841581385,960,-0.20635821,9.968164,-2.5175803,7.995593
261239002,train,1,4,2,1999.8140342563693,86.56675661609842,960,7.524705,5.747976,-2.006577,5.8239894
261236353,train,1,4,2,2003.4129529764368,76.25579986115719,960,-2.1281002,10.080639,-2.2940495,6.2417693
261236340,train,1,4,2,1997.086936147323,81.08628790029422,960,7.1578856,6.2154694,-2.022892,5.8905087
261236332,train,1,4,2,1987.3804848258433,79.46323541168826,960,5.233748,9.115412,-0.8562534,4.0944614
261236338,train,1,4,2,1994.0761537841659,82.9188922772071,960,7.1862755,6.329632,-1.9590846,5.7798347
261238979,train,1,4,2,1998.25503763904,95.85763592504054,960,7.3828583,6.0296664,-0.10046644,4.2369776
261238972,train,1,4,2,1993.2829634351538,96.9573972192575,960,7.288499,6.210024,-0.14019117,3.914172
261238955,train,1,4,2,1984.2815509592906,99.61015578848274,960,7.4688587,6.1677346,-0.10507564,3.7935135
261236319,train,1,4,2,1989.5598569741032,89.8062009037576,960,7.2446485,6.207929,-0.45675987,3.9678502
261236314,train,1,4,2,1988.392296035503,92.4068994347164,960,7.2630844,6.206837,-0.27827123,3.8735557
261236308,train,1,4,2,1982.3272741492115,92.80083496615768,960,7.4250627,6.2047267,-0.25555268,3.8287215
261236307,train,1,4,2,1985.28079713735,96.15705932133119,960,7.3203263,6.22907,-0.24486434,3.9031456
261260089,train,1,4,2,2020.5142049184085,110.24576657845769,960,-2.9449074,10.204709,-2.7081034,6.5710483
261257433,train,1,4,2,2012.1978376807763,108.95640962178489,960,0.9707792,10.206208,-2.7400339,6.4573326
261260071,train,1,4,2,2016.0842880874773,118.77206521879793,960,-0.43458465,7.299881,-2.7853298,6.501089
261260066,train,1,4,2,2009.4827011169282,118.16557832758812,960,0.09447044,6.455379,0.7037485,3.9404097
