row,TIC,split,sector,camera,ccd,detector_x,detector_y,moment_nll,moment_percentile,moment_anomaly,physics_nll,instrument_nll,physics_percentile,instrument_percentile,classification
1809,261108541,train,1,4,2,1781.2532234997018,116.98594134194731,232.31006,0.27625,False,155.55002,277.77313,0.10125,0.8325,typical
1811,261108529,train,1,4,2,1777.341476030175,122.87531051084098,216.26439,0.24125,False,140.46542,235.7789,0.045,0.69625,typical
1822,261108524,train,1,4,2,1766.851904295985,113.02450265076749,159.30022,0.1075,False,179.71788,169.67126,0.25625,0.385,typical
1826,261108520,train,1,4,2,1765.941742874652,116.65859088803947,132.48647,0.04625,False,215.55183,274.41925,0.47625,0.82625,typical
1827,261108513,train,1,4,2,1767.4498976467034,122.09263419770404,137.2232,0.0575,False,184.2731,223.73846,0.285,0.65125,typical
1832,261137094,train,1,4,2,1780.5136308757435,134.2108394567496,275.5877,0.37375,False,133.61723,196.05968,0.025,0.49375,typical
1833,261137091,train,1,4,2,1776.3842377854933,132.4786156329447,207.53833,0.22375,False,138.58861,201.78564,0.0375,0.52625,typical
1836,261137067,train,1,4,2,1764.547146692004,141.06692592112745,1189.1505,0.95,True,388.28394,61.13165,0.95375,0.0125,physics
1837,261137053,train,1,4,2,1758.322162610884,141.2793956284853,2453.1565,0.995,True,373.38165,64.08424,0.94875,0.02,typical
1838,261108497,train,1,4,2,1764.6546153332004,133.04007915377787,157.62254,0.105,False,176.04482,109.69055,0.2275,0.14,typical
1841,261108474,train,1,4,2,1752.6485141223573,133.83370512810416,2102.0515,0.98875,True,167.9862,180.76909,0.17625,0.4225,typical
1842,261108470,train,1,4,2,1750.517375664917,135.3023847862189,1121.1006,0.93875,False,495.71915,132.33698,0.9775,0.225,physics
1845,261106210,train,1,4,2,1761.001336107951,111.06737106773863,1247.0681,0.96375,True,148.12718,84.776054,0.06875,0.0675,typical
1846,261106200,train,1,4,2,1760.8263480213552,114.00576073964805,162.08789,0.115,False,161.66403,122.91568,0.12875,0.17875,typical
1847,261106199,train,1,4,2,1757.6715756748242,109.8457637934899,306.88757,0.45375,False,257.5529,67.94398,0.71875,0.02625,typical
1848,261106194,train,1,4,2,1756.6074552372086,112.51968829932906,685.61334,0.85625,False,168.09743,90.4929,0.17875,0.07625,typical
1850,261106173,train,1,4,2,1750.8107480055983,115.61596386086961,333.5359,0.5175,False,181.3856,72.28647,0.27,0.03875,typical
1851,261106187,train,1,4,2,1758.2328702237232,118.44153659135841,212.3794,0.2325,False,162.94734,144.52197,0.13375,0.27,typical
1854,261106177,train,1,4,2,1748.255535006224,110.43746078128811,592.33813,0.8075,False,186.89294,62.521606,0.3025,0.0175,typical
1855,261091518,train,1,4,2,1742.5709865681092,106.18036606619816,402.8769,0.60625,False,194.70033,117.57414,0.3475,0.16625,typical
1857,261091503,train,1,4,2,1735.5402909707873,111.06913598582551,584.5894,0.79875,False,240.35582,163.64201,0.6325,0.35875,typical
1860,261108473,train,1,4,2,1748.1869049493414,128.15819754814746,312.39905,0.465,False,442.45126,129.24619,0.9725,0.21,physics
1861,261106141,train,1,4,2,1744.0945155825068,128.97799801411617,434.3313,0.6525,False,426.40976,170.1428,0.965,0.38625,physics
1865,261108459,train,1,4,2,1742.197202310483,134.73898247937933,308.56793,0.45625,False,188.8501,131.33218,0.31375,0.22,typical
1869,261106126,train,1,4,2,1732.0478217029702,126.03244359079795,299.39313,0.43625,False,157.89497,176.10614,0.1075,0.40875,typical
1872,261091471,train,1,4,2,1725.745769075408,121.19207743666792,389.22607,0.59,False,169.16684,165.8704,0.18625,0.37,typical
1873,261106123,train,1,4,2,1731.6158813136701,127.07468561329303,312.463,0.46625,False,190.36047,164.84462,0.32125,0.3675,typical
1874,261106121,train,1,4,2,1729.3272618859655,127.35060584328457,462.73938,0.69125,False,165.83908,175.05983,0.1575,0.405,typical
1876,261106114,train,1,4,2,1723.7181585607543,127.09521488407769,367.25964,0.56,False,184.47739,163.36845,0.28625,0.3575,typical
1879,261259854,train,1,4,2,1946.1474343860323,188.49651285741348,407.60202,0.6125,False,284.60403,83.918396,0.82,0.065,typical
1881,261259845,train,1,4,2,1939.6893862630404,188.35619663974796,151.90176,0.08875,False,218.18953,80.86613,0.5025,0.05375,typical
1884,261259836,train,1,4,2,1936.4223615114367,193.82274196659424,722.6598,0.8625,False,210.43477,114.19616,0.45125,0.1525,typical
1886,261259838,train,1,4,2,1938.3576013820511,194.21944709737033,1359.3083,0.97375,True,225.96289,116.13245,0.54875,0.1625,typical
1887,261259833,train,1,4,2,1936.7669679102498,196.38323363998796,337.40475,0.5225,False,235.73227,124.791504,0.60375,0.19125,typical
1888,261259822,train,1,4,2,1930.6471371102193,195.92795756703674,662.05383,0.8475,False,228.37944,148.27997,0.5625,0.2875,typical
1892,261257223,train,1,4,2,1926.931830832101,191.05367000795917,1227.9865,0.9575,True,265.0672,199.57738,0.7525,0.51375,typical
1895,261257235,train,1,4,2,1928.0560298559262,186.5559484284842,1672.9731,0.98,True,257.60135,94.53804,0.72125,0.0825,typical
1896,261257221,train,1,4,2,1923.9027322928268,188.42518576624366,1000.4721,0.91375,False,234.45926,221.94542,0.59625,0.645,typical
1900,261257215,train,1,4,2,1923.22249498759,191.88135403285855,1963.6453,0.98375,True,235.19711,147.72978,0.60125,0.285,typical
1902,261257204,train,1,4,2,1913.6915841452917,189.61772058627227,958.8128,0.90375,False,195.18198,218.75449,0.35125,0.6175,typical
1903,261257206,train,1,4,2,1915.9707587883904,191.02575132834687,1234.4929,0.96125,True,170.72571,286.32095,0.1975,0.845,typical
1904,261257202,train,1,4,2,1912.4051013107883,188.3265707034643,573.5225,0.795,False,190.72784,218.06212,0.3225,0.615,typical
1907,261257194,train,1,4,2,1911.8177896049008,192.6887355542656,610.1946,0.815,False,229.4706,212.404,0.56625,0.5925,typical
1908,261259819,train,1,4,2,1931.7742464080843,200.2585390769911,893.6332,0.89,False,232.17047,176.82516,0.57875,0.41,typical
1909,261259815,train,1,4,2,1927.885875489135,198.88538519611433,920.21436,0.895,False,338.77515,154.15617,0.92125,0.31375,typical
1914,261259802,train,1,4,2,1926.7847899762937,205.61212992182192,1102.1206,0.935,False,268.7749,157.51318,0.76375,0.32875,typical
1915,261259773,train,1,4,2,1913.6218924952714,209.54779371610118,1281.4204,0.9675,True,439.4635,158.3988,0.97,0.335,physics
1918,261257186,train,1,4,2,1910.4502456802936,197.85297709648617,1254.1215,0.965,True,247.14604,173.5392,0.665,0.39875,typical
1919,261257187,train,1,4,2,1911.8653183400768,198.39777176365558,316.36465,0.475,False,263.57816,209.61256,0.74625,0.57625,typical
